Implementazione,Inserimento in testa, Inserimento in coda, Inserimento in pos, somma, somma indietro, cancellazione in pos
Array, 151, 247, 330, 0, 0, 151
Array, 155, 170, 272, 0, 0, 155
Array, 145, 176, 271, 0, 0, 145
Liste Bi, 0, 1, 89, 0, 0, 0
Liste Bi, 0, 0, 90, 0, 0, 0
Liste Bi, 0, 1, 90, 0, 1, 0
Liste Mono, 0, 171, 89, 0, 1, 0
Liste Mono, 1, 170, 88, 0, 0, 1
Liste Mono, 1, 170, 93, 0, 0, 1
Linked List, 0, 0, 102, 1515, 1510, 0
Linked List, 1, 0, 108, 1420, 1436, 1
Linked List, 0, 1, 105, 1481, 1487, 0
Array List, 20, 0, 27, 1, 1, 20
Array List, 21, 1, 28, 0, 0, 21
Array List, 20, 0, 27, 0, 0, 20
